time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,facility,filter,ab_corr,Circular
31098.0,0.16406712546839153,0.007555570347078042,488181823807197.5,6141.0,18.36251169947824,0.05,SVOM/COLIBRÍ(FM-GFT),r,0.0,42242.0
67227.6,0.021537941220784868,0.0009918588477752243,545077196363636.4,5500.0,20.5670551537985,0.05,LCO,V,-0.002687836840409172,422561.0
86106.0,0.014332608297071977,0.0006600410041712141,468425715625000.0,6400.0,21.0092525423205,0.05,MAO/AZT-22,R,0.17868883103112015,42283.0
100404.0,0.015681911763630946,0.0014443574502633833,634750069870844.8,4723.0,20.911568107504127,0.1,OHP/T193,g',0.0,42276.0
103356.0,0.012538451464691316,0.0008083838400911724,483380293453724.6,6202.0,21.154455864352304,0.07,OHP/T193,r',0.0,42276.0
119778.0,0.01652498215068475,0.0010654049717404629,335977202734506.3,8923.0,20.854713124635886,0.07,SVOM/COLIBRÍ,z,0.0,42279.0
119778.0,0.012560923456428402,0.0005784519021002257,488181823807197.5,6141.0,21.15251169947824,0.05,SVOM/COLIBRÍ,r,0.0,42279.0
119778.0,0.0101037859484443,0.000465296538153811,641816437593663.0,4671.0,21.388855279798193,0.05,SVOM/COLIBRÍ,g,0.0,42279.0
187488.0,0.0065920663375599944,0.0015178793680893498,488181823807197.5,6141.0,21.85251169947824,0.25,INO340,r,0.0,42492.0
187488.0,0.004618321227430619,0.0006805809672281413,641816437593663.0,4671.0,22.238855279798194,0.16,INO340,g,0.0,42492.0
187488.0,0.009022350742002192,0.0028253633238325302,393170436721311.5,7625.0,21.511766356789195,0.34,INO340,i,0.0,42492.0
243813.0,0.015813265734899124,0.000873873358865574,488181823807197.5,6141.0,20.90251169947824,0.06,JinShan,r,0.0,42319.0
343202.0,0.0237796323676323,0.0010950925401317767,467694942277691.1,6410.0,20.45955278189334,0.05,SAO/Zeiss-1000,Rc,0.17868883103112015,42736.0
350751.0,0.020808649890343048,0.0011499284890280658,483380293453724.6,6202.0,20.604455864352303,0.06,OHP/T193,r',0.0,42338.0
421343.0,0.016305166275768418,0.002252641968322416,468425715625000.0,6400.0,20.8692525423205,0.15,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
436501.0,0.013558296783994788,0.0006243826412243102,467694942277691.1,6410.0,21.06955278189334,0.05,SAO/Zeiss-1000,Rc,0.17868883103112015,42736.0
500184.0,0.008097020372517597,0.00044745788177827465,468425715625000.0,6400.0,21.629252542320497,0.06,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
608631.0,0.018210640962356788,0.0023481668231722114,468425715625000.0,6400.0,20.749252542320498,0.14,Koshka/Ziess-1000,R,0.17868883103112015,42736.0
613196.0,0.0078741763343378,0.0007977622860703196,467694942277691.1,6410.0,21.65955278189334,0.11,SAORAS,Rc,0.17868883103112015,42399.0
613196.0,0.0078741763343378,0.0007977622860703196,467694942277691.1,6410.0,21.65955278189334,0.11,SAO/Zeiss-1000,Rc,0.17868883103112015,42736.0
672673.0,0.006085905885316011,0.0005044793820801616,468425715625000.0,6400.0,21.9392525423205,0.09,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
688969.0,0.006610055959474561,0.0006088086526457031,467694942277691.1,6410.0,21.84955278189334,0.1,SAORAS,Rc,0.17868883103112015,42399.0
