96 configs; eps_e=0.1, xi=0.9, Gamma0=400 fixed
     E   th     n    p      eB |  F38(ssc)  boost   G38  G113 |    F0.15h  i38/uJy
 1e+52  0.1     1  2.2   1e-06 |  7.69e-16    0.4  1.90  1.91 |  4.40e-13     0.01
 1e+52  0.1     1  2.2   1e-05 |  2.78e-15    0.2  1.97  1.98 |  1.87e-12     0.05
 1e+52  0.1     1  2.2   1e-04 |  8.80e-15    0.2  2.02  2.03 |  6.93e-12     0.23
 1e+52  0.1     1  2.2   1e-03 |  2.38e-14    0.2  2.06  2.06 |  2.22e-11     1.03
 1e+52  0.1     1  2.6   1e-06 |  1.54e-16    0.9  1.87  1.87 |  3.32e-13     0.00
 1e+52  0.1     1  2.6   1e-05 |  9.28e-16    0.7  1.96  1.95 |  1.95e-12     0.02
 1e+52  0.1     1  2.6   1e-04 |  4.12e-15    0.6  2.09  2.09 |  8.78e-12     0.18
 1e+52  0.1     1  2.6   1e-03 |  1.15e-14    0.5  2.20  2.21 |  2.82e-11     1.05
 1e+52  0.1    50  2.2   1e-06 |  2.87e-16    0.1  2.05  2.06 |  7.76e-13     0.01
 1e+52  0.1    50  2.2   1e-05 |  8.30e-16    0.1  2.07  2.07 |  2.46e-12     0.05
 1e+52  0.1    50  2.2   1e-04 |  2.18e-15    0.1  2.08  2.08 |  7.25e-12     0.19
 1e+52  0.1    50  2.2   1e-03 |  5.14e-15    0.2  2.08  2.08 |  2.34e-11     0.54
 1e+52  0.1    50  2.6   1e-06 |  1.11e-16    0.4  2.10  2.10 |  7.42e-13     0.01
 1e+52  0.1    50  2.6   1e-05 |  3.86e-16    0.2  2.17  2.18 |  2.42e-12     0.04
 1e+52  0.1    50  2.6   1e-04 |  1.01e-15    0.2  2.17  2.19 |  7.08e-12     0.18
 1e+52  0.1    50  2.6   1e-03 |  2.10e-15    0.4  2.14  2.17 |  2.52e-11     0.55
 1e+52  0.1   500  2.2   1e-06 |  1.44e-16    0.0  2.04  2.05 |  7.65e-13     0.01
 1e+52  0.1   500  2.2   1e-05 |  4.01e-16    0.0  2.03  2.05 |  2.25e-12     0.04
 1e+52  0.1   500  2.2   1e-04 |  9.99e-16    0.1  2.03  2.05 |  7.30e-12     0.10
 1e+52  0.1   500  2.2   1e-03 |  2.33e-15    0.2  2.05  2.05 |  2.82e-11     0.27
 1e+52  0.1   500  2.6   1e-06 |  7.10e-17    0.2  2.06  2.12 |  6.16e-13     0.01
 1e+52  0.1   500  2.6   1e-05 |  2.46e-16    0.2  1.99  2.07 |  1.86e-12     0.03
 1e+52  0.1   500  2.6   1e-04 |  6.60e-16    0.3  1.94  2.02 |  6.76e-12     0.10
 1e+52  0.1   500  2.6   1e-03 |  1.42e-15    0.6  1.96  2.01 |  2.37e-11     0.23
 1e+52  0.3     1  2.2   1e-06 |  1.75e-15    0.3  1.91  1.92 |  4.47e-13     0.02
 1e+52  0.3     1  2.2   1e-05 |  6.38e-15    0.2  1.98  1.99 |  1.90e-12     0.11
 1e+52  0.3     1  2.2   1e-04 |  2.05e-14    0.2  2.03  2.04 |  7.04e-12     0.58
 1e+52  0.3     1  2.2   1e-03 |  5.76e-14    0.2  2.06  2.07 |  2.26e-11     2.64
 1e+52  0.3     1  2.6   1e-06 |  4.12e-16    0.8  1.89  1.89 |  3.37e-13     0.01
 1e+52  0.3     1  2.6   1e-05 |  2.37e-15    0.6  1.99  1.99 |  1.98e-12     0.07
 1e+52  0.3     1  2.6   1e-04 |  1.01e-14    0.5  2.12  2.12 |  8.91e-12     0.51
 1e+52  0.3     1  2.6   1e-03 |  2.88e-14    0.5  2.22  2.22 |  2.86e-11     3.00
