Starting Date,Time,Facility,magnitude,mag_error,Filter,Exposure,Circular,Limit,wavelength,filter_width
1970-01-01 09:00:45.943,0.03,NUTTelA-TAO,13.67,0.1,i,3,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.03,NUTTelA-TAO,14.2,0.1,i,3,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.04,NUTTelA-TAO,14.27,0.1,i,3,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.05,NUTTelA-TAO,14.69,0.06,i,30,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.06,BOOTES-6/DPRT,14.42,0.02,clear,60 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.07,NUTTelA-TAO,14.96,0.06,i,30,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.07,SVOM/VT,15.38,0.01,Blue,6*50 sec,42223.0,False,5250.0,2500.0
1970-01-01 09:00:45.943,0.07,SVOM/VT,14.76,0.01,Red,6*50 sec,42223.0,False,8250.0,3000.0
1970-01-01 09:00:45.943,0.08,BOOTES-6/DPRT,14.82,0.02,clear,61 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.08,NUTTelA-TAO,15.16,0.06,i,30,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.12,NUTTelA-TAO,15.06,0.06,i,30,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.13,Swift/UVOT,15.22,0.03,u_swift,1785,42298.0,False,3565.44,375.12
1970-01-01 09:00:45.943,0.18,NUTTelA-TAO,15.14,0.06,i,30,42256.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,0.18,BOOTES-6/DPRT,14.79,0.03,clear,62 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.2,BOOTES-6/DPRT,15.03,0.02,clear,63 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.3,BOOTES-6/DPRT,15.77,0.03,clear,64 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.33,BOOTES-6/DPRT,15.79,0.03,clear,65 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.4,SYSU,13.49,0.14,J,20,42248.0,False,12350.0,1520.26
1970-01-01 09:00:45.943,0.42,BOOTES-6/DPRT,16.07,0.03,clear,66 sec,42225.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.51,LAST,16.14,0.02,clear,20x20 sec,42226.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,0.77,SYSU,13.89,0.14,J,20,42248.0,False,12350.0,1520.26
1970-01-01 09:00:45.943,0.79,ULL-ASTRO-MASTER,14.84,0.02,r,300,42254.0,False,6257.52,1264.57
1970-01-01 09:00:45.943,0.88,LAST,15.2,0.02,clear,20x20 sec,42226.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.42,Calapai,15.56,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.56,Calapai,15.75,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.63,Leavitt,15.38,0.01,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.71,Calapai,15.97,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.71,Leavitt,15.51,0.01,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.78,Leavitt,15.67,0.01,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.8,LCO,15.7,0.01,i,3x200,42229.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,1.82,OHP/T193,15.92,0.04,r',180,42266.0,False,6257.52,1264.57
1970-01-01 09:00:45.943,1.85,Calapai,16.09,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.85,Leavitt,15.73,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.92,Leavitt,15.74,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.97,Leavitt,15.76,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,1.97,Calapai,16.16,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.99,BassanoBrescianoObservatory,15.63,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,1.99,BassanoBrescianoObservatory,15.63,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.0,LCO,15.99,0.01,r,3x200,42229.0,False,6257.52,1264.57
1970-01-01 09:00:45.943,2.02,Leavitt,15.86,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.07,BassanoBrescianoObservatory,15.67,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.07,Leavitt,15.84,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.1,LCO,16.3,0.01,g,3x200,42229.0,False,4806.36,1071.48
1970-01-01 09:00:45.943,2.11,Leavitt,15.84,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.11,Calapai,16.2,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.14,SAORAS,15.84,0.01,Rc,300,42230.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.16,BassanoBrescianoObservatory,15.73,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.19,Leavitt,15.89,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.23,Leavitt,15.9,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.26,BassanoBrescianoObservatory,15.72,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.26,Calapai,16.27,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.28,Leavitt,15.92,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.33,Leavitt,15.97,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.33,BassanoBrescianoObservatory,15.77,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.38,Leavitt,15.96,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.4,Calapai,16.41,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.41,SAORAS,16.05,0.01,Rc,100,42230.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.43,OsservatorioAstronomicoNastroVerde,16.11,0.02,Rc,60,42269.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.43,BassanoBrescianoObservatory,15.84,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.43,OsservatorioAstronomicoNastroVerde,16.58,0.04,V,60,42269.0,False,5538.12,1164.8
1970-01-01 09:00:45.943,2.43,Leavitt,16.04,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.47,Leavitt,16.12,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.5,BassanoBrescianoObservatory,15.92,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.52,Leavitt,16.12,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.52,Calapai,16.53,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.57,Leavitt,16.19,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.59,BassanoBrescianoObservatory,15.98,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.6,SAORAS,16.21,0.01,Rc,100,42230.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.62,Leavitt,16.27,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.64,OsservatorioAstronomicoNastroVerde,16.28,0.03,Rc,60,42269.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.67,OsservatorioAstronomicoNastroVerde,16.7,0.04,V,60,42269.0,False,5538.12,1164.8
1970-01-01 09:00:45.943,2.67,Calapai,16.61,0.01,clear,8x60s,42275.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.69,BassanoBrescianoObservatory,16.05,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.69,Leavitt,16.29,0.02,Rc,,42333.0,False,6533.95,1676.68
1970-01-01 09:00:45.943,2.75,Asiago,16.51,0.05,r,,42253.0,False,6257.52,1264.57
1970-01-01 09:00:45.943,2.75,Asiago,16.27,0.04,i,,42253.0,False,7580.91,1288.67
1970-01-01 09:00:45.943,2.76,BassanoBrescianoObservatory,16.12,0.01,clear,10x30,42262.0,False,5622.12,1876.9
1970-01-01 09:00:45.943,2.79,MASTER-SAAO,18.6,0.0,clear,60,42235.0,True,5622.12,1876.9
1970-01-01 09:00:45.943,2.81,Leavitt,15.94,0.03,Ic,,42333.0,False,7989.4,1337.0
