No.,Bandpass,Central Wavelength,Galactic Extinction,Reference
1,Landolt U,0.35082,0.229132,2011ApJ...737..103S
2,Landolt B,0.4329,0.191701,2011ApJ...737..103S
3,Landolt V,0.54217,0.144965,2011ApJ...737..103S
4,Landolt R,0.64278,0.114672,2011ApJ...737..103S
5,Landolt I,0.80484,0.079567,2011ApJ...737..103S
6,CTIO U,0.37339,0.217131,2011ApJ...737..103S
7,CTIO B,0.43089,0.192494,2011ApJ...737..103S
8,CTIO V,0.55166,0.141793,2011ApJ...737..103S
9,CTIO R,0.65202,0.112028,2011ApJ...737..103S
10,CTIO I,0.80069,0.080149,2011ApJ...737..103S
11,UKIRT J,1.24829,0.037484,2011ApJ...737..103S
12,UKIRT H,1.65884,0.023738,2011ApJ...737..103S
13,UKIRT K,2.18977,0.015966,2011ApJ...737..103S
14,UKIRT L',3.77725,0.008089,2011ApJ...737..103S
15,Gunn g,0.52,0.154059,2011ApJ...737..103S
16,Gunn r,0.66285,0.108645,2011ApJ...737..103S
17,Gunn i,0.78986,0.08221,2011ApJ...737..103S
18,Gunn z,0.90501,0.06524,2011ApJ...737..103S
19,Spinrad R_S,0.69273,0.10156,2011ApJ...737..103S
20,Stromgren u,0.351,0.227598,2011ApJ...737..103S
21,Stromgren b,0.46705,0.177109,2011ApJ...737..103S
22,Stromgren v,0.41192,0.20053,2011ApJ...737..103S
23,Stromgren beta,0.48613,0.16828,2011ApJ...737..103S
24,Stromgren y,0.54789,0.142005,2011ApJ...737..103S
25,SDSS u,0.35868,0.224109,2011ApJ...737..103S
26,SDSS g,0.47167,0.174624,2011ApJ...737..103S
27,SDSS r,0.61651,0.120804,2011ApJ...737..103S
28,SDSS i,0.74759,0.089771,2011ApJ...737..103S
29,SDSS z,0.89229,0.066773,2011ApJ...737..103S
30,DSS-II g,0.46206,0.178748,2011ApJ...737..103S
31,DSS-II r,0.65455,0.110389,2011ApJ...737..103S
32,DSS-II i,0.8111,0.078615,2011ApJ...737..103S
33,PS1 g,0.48767,0.167699,2011ApJ...737..103S
34,PS1 r,0.62001,0.120064,2011ApJ...737..103S
35,PS1 i,0.75208,0.088925,2011ApJ...737..103S
36,PS1 z,0.86653,0.069892,2011ApJ...737..103S
37,PS1 y,0.97063,0.057468,2011ApJ...737..103S
38,PS1 w,0.62408,0.123765,2011ApJ...737..103S
39,LSST u,0.36932,0.21914,2011ApJ...737..103S
40,LSST g,0.47973,0.171135,2011ApJ...737..103S
41,LSST r,0.61958,0.12017,2011ApJ...737..103S
42,LSST i,0.75153,0.08903,2011ApJ...737..103S
43,LSST z,0.86644,0.069945,2011ApJ...737..103S
44,LSST y,0.97103,0.057521,2011ApJ...737..103S
45,WFPC2 F300W,0.30876,0.259161,2011ApJ...737..103S
46,WFPC2 F450W,0.4587,0.180281,2011ApJ...737..103S
47,WFPC2 F555W,0.54394,0.145652,2011ApJ...737..103S
48,WFPC2 F606W,0.59848,0.127677,2011ApJ...737..103S
49,WFPC2 F702W,0.68879,0.102988,2011ApJ...737..103S
50,WFPC2 F814W,0.794,0.081893,2011ApJ...737..103S
51,WFC3 F105W,1.04389,0.051229,2011ApJ...737..103S
52,WFC3 F110W,1.11697,0.046577,2011ApJ...737..103S
53,WFC3 F125W,1.23355,0.038382,2011ApJ...737..103S
54,WFC3 F140W,1.36923,0.032408,2011ApJ...737..103S
55,WFC3 F160W,1.52583,0.027069,2011ApJ...737..103S
56,WFC3 F200LP,0.55152,0.156385,2011ApJ...737..103S
57,WFC3 F218W,0.22483,0.410259,2011ApJ...737..103S
58,WFC3 F225W,0.2394,0.369497,2011ApJ...737..103S
59,WFC3 F275W,0.27425,0.290089,2011ApJ...737..103S
60,WFC3 F300X,0.29345,0.276396,2011ApJ...737..103S
61,WFC3 F336W,0.33664,0.235423,2011ApJ...737..103S
62,WFC3 F350LP,0.58771,0.138727,2011ApJ...737..103S
63,WFC3 F390W,0.39948,0.205975,2011ApJ...737..103S
64,WFC3 F438W,0.43353,0.191542,2011ApJ...737..103S
65,WFC3 F475W,0.4785,0.171717,2011ApJ...737..103S
66,WFC3 F475X,0.49697,0.164738,2011ApJ...737..103S
67,WFC3 F555W,0.53028,0.150939,2011ApJ...737..103S
68,WFC3 F600LP,0.73623,0.094159,2011ApJ...737..103S
69,WFC3 F606W,0.58685,0.131537,2011ApJ...737..103S
70,WFC3 F625W,0.62258,0.11943,2011ApJ...737..103S
71,WFC3 F775W,0.76309,0.086863,2011ApJ...737..103S
72,WFC3 F814W,0.79831,0.081206,2011ApJ...737..103S
73,WFC3 F850LP,0.91497,0.063865,2011ApJ...737..103S
74,ACS clear,0.62111,0.128787,2011ApJ...737..103S
75,ACS F435W,0.43483,0.190855,2011ApJ...737..103S
76,ACS F475W,0.47603,0.172774,2011ApJ...737..103S
77,ACS F550M,0.5581,0.138515,2011ApJ...737..103S
78,ACS F555W,0.53613,0.147609,2011ApJ...737..103S
79,ACS F606W,0.5901,0.130638,2011ApJ...737..103S
80,ACS F625W,0.62981,0.117315,2011ApJ...737..103S
81,ACS F775W,0.76735,0.086123,2011ApJ...737..103S
82,ACS F814W,0.80124,0.080677,2011ApJ...737..103S
83,ACS F850LP,0.90075,0.065715,2011ApJ...737..103S
84,DES g,0.47966,0.171135,2011ApJ...737..103S
85,DES r,0.63826,0.115042,2011ApJ...737..103S
86,DES i,0.7769,0.084325,2011ApJ...737..103S
87,DES z,0.91082,0.064341,2011ApJ...737..103S
88,DES Y,0.98504,0.055935,2011ApJ...737..103S
89,Landolt U,0.3372,0.287287,1998ApJ...500..525S
90,Landolt B,0.4404,0.228127,1998ApJ...500..525S
91,Landolt V,0.5428,0.175259,1998ApJ...500..525S
92,Landolt R,0.6509,0.141317,1998ApJ...500..525S
93,Landolt I,0.809,0.102565,1998ApJ...500..525S
94,Sloan u',0.3546,0.272537,1998ApJ...500..525S
95,Sloan g',0.4925,0.20053,1998ApJ...500..525S
96,Sloan r',0.6335,0.145441,1998ApJ...500..525S
97,Sloan i',0.7799,0.110283,1998ApJ...500..525S
98,Sloan z',0.9294,0.078192,1998ApJ...500..525S
99,UKIRT J,1.266,0.047687,1998ApJ...500..525S
100,UKIRT H,1.6732,0.030452,1998ApJ...500..525S
101,UKIRT K,2.2152,0.019403,1998ApJ...500..525S
102,UKIRT L',3.8079,0.008089,1998ApJ...500..525S
