mjd,mag,magerr,filter,instrument_name
60961.73702546,13.390999999999998,0.054,sdssi,NUTTelA-TAO 
60961.73706018,13.461,0.056,sdssi,NUTTelA-TAO 
60961.7370949,13.608,0.059,sdssi,NUTTelA-TAO 
60961.73712962,13.768,0.05999999999999999,sdssi,NUTTelA-TAO 
60961.73716435,13.807,0.061,sdssi,NUTTelA-TAO 
60961.73719907,13.671,0.08,sdssi,NUTTelA-TAO 
60961.73723379,13.740999999999998,0.063,sdssi,NUTTelA-TAO 
60961.73726851,13.770999999999999,0.064,sdssi,NUTTelA-TAO 
60961.73730324,13.857,0.058,sdssi,NUTTelA-TAO 
60961.73733796,13.949,0.056,sdssi,NUTTelA-TAO 
60961.73737268,13.903,0.064,sdssi,NUTTelA-TAO 
60961.7374074,13.732,0.06099999999999999,sdssi,NUTTelA-TAO 
60961.73744212,13.748,0.073,sdssi,NUTTelA-TAO 
60961.73747685,13.782,0.056,sdssi,NUTTelA-TAO 
60961.73751157,13.767,0.06,sdssi,NUTTelA-TAO 
60961.73754629,13.875,0.067,sdssi,NUTTelA-TAO 
60961.738043,14.183999999999997,0.036,sdssi,NUTTelA-TAO 
60961.738391,14.31,0.036,sdssi,NUTTelA-TAO 
60961.738738,14.452,0.031000000000000003,sdssi,NUTTelA-TAO 
60961.739085,14.528,0.036,sdssi,NUTTelA-TAO 
60961.739432,14.625999999999998,0.028999999999999998,sdssi,NUTTelA-TAO 
60961.73978,14.552,0.028,sdssi,NUTTelA-TAO 
60961.740127,14.575,0.03300000000000001,sdssi,NUTTelA-TAO 
60961.740474,14.617999999999999,0.030000000000000006,sdssi,NUTTelA-TAO 
60961.740821,14.597,0.032,sdssi,NUTTelA-TAO 
60961.741168,14.623,0.03300000000000001,sdssi,NUTTelA-TAO 
60961.741516,14.693,0.029,sdssi,NUTTelA-TAO 
60961.741863,14.732,0.035,sdssi,NUTTelA-TAO 
60961.74221,14.701999999999998,0.03300000000000001,sdssi,NUTTelA-TAO 
60961.742557,14.597,0.035,sdssi,NUTTelA-TAO 
60961.742905,14.594999999999999,0.034,sdssi,NUTTelA-TAO 
60961.743252,14.576,0.036,sdssi,NUTTelA-TAO 
60961.743599,14.602,0.036,sdssi,NUTTelA-TAO 
60961.743946,14.693999999999999,0.035,sdssi,NUTTelA-TAO 
60961.744293,14.773,0.031,sdssi,NUTTelA-TAO 
60961.744641,14.919,0.03,sdssi,NUTTelA-TAO 
60961.74552,15.029,0.04,sdssi,NUTTelA-TAO 
60961.746215,15.093,0.03,sdssi,NUTTelA-TAO 
60961.746909,15.203,0.044,sdssi,NUTTelA-TAO 
60961.747604,15.288999999999998,0.03,sdssi,NUTTelA-TAO 
60961.748298,15.375,0.05,sdssi,NUTTelA-TAO 
60961.748993,15.469,0.057,sdssi,NUTTelA-TAO 
60961.749687,15.47,0.073,sdssi,NUTTelA-TAO 
60961.750381,15.431,0.065,sdssi,NUTTelA-TAO 
60961.751076,15.428,0.065,sdssi,NUTTelA-TAO 
60961.75177,15.584,0.059,sdssi,NUTTelA-TAO 
60961.752465,15.646999999999998,0.07399999999999998,sdssi,NUTTelA-TAO 
60961.75802,15.446,0.06199999999999999,sdssi,NUTTelA-TAO 
60961.760798,15.219,0.048,sdssi,NUTTelA-TAO 
60961.766354,14.617,0.055,sdssi,NUTTelA-TAO 
60961.771909,14.448,0.046,sdssi,NUTTelA-TAO 
60961.774687,14.471,0.036,sdssi,NUTTelA-TAO 
60961.777465,14.598,0.032,sdssi,NUTTelA-TAO 
60961.785798,14.791,0.03,sdssi,NUTTelA-TAO 
60961.788576,14.846999999999998,0.039,sdssi,NUTTelA-TAO 
60961.794131,15.085,0.038,sdssi,NUTTelA-TAO 
60961.796909,15.156,0.03699999999999999,sdssi,NUTTelA-TAO 
60961.803194,15.174,0.056000000000000015,sdssi,NUTTelA-TAO 
60961.811527,15.408,0.053,sdssi,NUTTelA-TAO 
60961.814305,15.287,0.057,sdssi,NUTTelA-TAO 
60961.828194,15.619,0.07,sdssi,NUTTelA-TAO 
60961.830972,15.767,0.065,sdssi,NUTTelA-TAO 
60961.83375,15.831,0.055,sdssi,NUTTelA-TAO 
60961.836527,15.913999999999998,0.062000000000000006,sdssi,NUTTelA-TAO 
60961.839305,15.989,0.057,sdssi,NUTTelA-TAO 
60961.842083,15.979,0.05499999999999999,sdssi,NUTTelA-TAO 
60961.860868,16.559,0.065,sdssi,NUTTelA-TAO 
