Time,Time_high,Time_low,Flux,Flux_high,Flux_low
454.429,14.115,-15.973,1.35E-06,2.96E-07,-2.96E-07
481.494,17.138,-12.949,1.53E-06,3.46E-07,-3.46E-07
513.174,15.546,-14.542,1.97E-06,4.32E-07,-4.32E-07
543.085,15.723,-14.365,2.29E-06,5.15E-07,-5.15E-07
576.041,10.348,-17.233,2.58E-06,5.41E-07,-5.41E-07
600.01,13.959,-13.621,2.05E-06,4.49E-07,-4.49E-07
629.154,9.888,-15.185,2.04E-06,4.48E-07,-4.48E-07
654.166,14.963,-15.124,1.64E-06,3.71E-07,-3.71E-07
690.257,13.975,-21.127,1.59E-06,3.41E-07,-3.41E-07
721.167,18.168,-16.935,1.69E-06,3.73E-07,-3.73E-07
755.22,16.71,-15.885,2.25E-06,4.80E-07,-4.80E-07
793.289,23.773,-21.359,1.49E-06,3.35E-07,-3.35E-07
845.17,22.038,-28.108,1.01E-06,2.27E-07,-2.27E-07
879.837,14.952,-12.629,1.54E-06,3.46E-07,-3.46E-07
918.815,13.584,-24.026,1.12E-06,2.51E-07,-2.51E-07
952.353,22.67,-19.954,1.01E-06,2.28E-07,-2.28E-07
1013.817,26.396,-38.794,6.84E-07,1.55E-07,-1.55E-07
1070.422,27.459,-30.209,7.33E-07,1.65E-07,-1.65E-07
1132.484,33.095,-34.603,5.93E-07,1.34E-07,-1.34E-07
1203.641,27.128,-38.062,5.91E-07,1.32E-07,-1.32E-07
1279.116,41.917,-48.346,4.05E-07,9.17E-08,-9.17E-08
1362.483,31.262,-41.45,5.02E-07,1.10E-07,-1.10E-07
1435.146,43.848,-41.401,4.02E-07,9.08E-08,-9.08E-08
1523.623,63.185,-44.629,3.29E-07,7.42E-08,-7.42E-08
1630.696,33.839,-43.888,4.85E-07,1.07E-07,-1.07E-07
1711.16,33.609,-46.625,4.52E-07,1.03E-07,-1.03E-07
1795.89,29.113,-51.121,5.00E-07,1.10E-07,-1.10E-07
1896.802,71.107,-71.799,4.52E-07,8.11E-08,-8.11E-08
5265.222,11.406,-11.159,8.89E-06,1.96E-06,-1.96E-06
5285.725,8.454,-9.097,1.58E-05,2.85E-06,-2.85E-06
5302.828,6.395,-8.649,1.01E-05,2.29E-06,-2.29E-06
5318.794,7.981,-9.571,8.58E-06,1.84E-06,-1.84E-06
5335.422,8.903,-8.648,7.45E-06,1.68E-06,-1.68E-06
5350.831,8.539,-6.505,8.74E-06,1.92E-06,-1.92E-06
5369.896,9.531,-10.527,5.36E-06,1.20E-06,-1.20E-06
5390.708,8.778,-11.28,4.77E-06,1.05E-06,-1.05E-06
5409.303,10.242,-9.816,5.97E-06,1.23E-06,-1.23E-06
5430.14,11.971,-10.595,5.48E-06,1.18E-06,-1.18E-06
5453.391,8.779,-11.28,6.82E-06,1.47E-06,-1.47E-06
5473.344,8.884,-11.174,8.22E-06,1.70E-06,-1.70E-06
5493.387,8.899,-11.159,5.73E-06,1.26E-06,-1.26E-06
5510.491,6.84,-8.204,6.08E-06,1.30E-06,-1.30E-06
5528.162,11.733,-10.831,3.96E-06,7.52E-07,-7.52E-07
136157.868,5320.955,-6369.183,6.51E-09,1.43E-09,-1.43E-09
406140.614,87278.191,-54056.354,1.81E-09,6.48E-10,-6.48E-10
